ID User,Headers,Move
Rirr2020,"['Site ""https://lichess.org/dXKzQe1m""', 'Date ""2020.12.31""', 'White ""Rirr2020""', 'Black ""DrPennywise""', 'Result ""0-1""', 'UTCDate ""2020.12.31""', 'UTCTime ""02:05:20""', 'WhiteElo ""1729""', 'BlackElo ""2123""', 'WhiteRatingDiff ""-2""', 'BlackRatingDiff ""+4""', 'Variant ""Standard""', 'TimeControl ""180+0""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Abandoned""']",0-1
Rirr2020,"['Event ""Rated Bullet game""', 'Site ""https://lichess.org/vKEmY4Gd""', 'Date ""2020.12.25""', 'White ""Rirr2020""', 'Black ""jUsTin390""', 'Result ""0-1""', 'UTCDate ""2020.12.25""', 'UTCTime ""11:56:38""', 'WhiteElo ""1689""', 'BlackElo ""1698""', 'WhiteRatingDiff ""-11""', 'BlackRatingDiff ""+6""', 'Variant ""Standard""', 'TimeControl ""60+0""', 'ECO ""B12""', 'Opening ""Caro-Kann Defense: Advance Variation, Short Variation""', 'Termination ""Time forfeit""']",1. e4 c6 2. Nf3 d5 3. e5 Bf5 4. d4 e6 5. Nc3 c5 6. Bg5 Be7 7. Bxe7 Nxe7 8. Bd3 O-O 9. dxc5 Nbc6 10. h3 Rc8 11. a3 a5 12. O-O a4 13. Nh4 Bxd3 14. Qxd3 Nxe5 15. Qg3 N5g6 16. Ne2 Rxc5 17. Nf4 Rxc2 18. Nhxg6 Nxg6 19. Nxg6 fxg6 20. Rab1 Qf6 21. b4 axb3 22. Rxb3 Rb2 23. Rf3 Qe7 24. Rc3 Ra2 0-1
Rirr2020,"['Event ""Rated Bullet game""', 'Site ""https://lichess.org/iW6tTl4G""', 'Date ""2020.12.25""', 'White ""vv1987""', 'Black ""Rirr2020""', 'Result ""0-1""', 'UTCDate ""2020.12.25""', 'UTCTime ""11:53:21""', 'WhiteElo ""1674""', 'BlackElo ""1678""', 'WhiteRatingDiff ""-6""', 'BlackRatingDiff ""+11""', 'Variant ""Standard""', 'TimeControl ""60+0""', 'ECO ""B52""', 'Opening ""Sicilian Defense: Canal Attack, Main Line""', 'Termination ""Time forfeit""']",1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Nxd7 5. O-O Ngf6 6. d4 cxd4 7. Nxd4 Nxe4 8. c3 e6 9. Be3 Be7 10. Nd2 Ndf6 11. Nxe4 Nxe4 12. Qd3 d5 13. Nf3 O-O 14. Ne5 Rc8 15. a3 f6 16. Nf3 Qc7 17. h3 Kh8 18. Bxa7 b6 19. Qa6 Ra8 20. Qxb6 Qxa7 21. Qb3 Rab8 22. Qc2 Qb7 23. Rab1 Qc7 24. Qd3 Rb7 25. Rfc1 Rfb8 26. b4 Rb6 27. c4 dxc4 28. Qxe4 c3 29. Qxe6 Rxe6 30. Nd4 Rd6 31. Nb3 Rbd8 32. Nc5 Qxc5 33. b5 Rd2 34. Rxc3 Qxc3 35. Rb4 Rd1+ 36. Kh2 Qc1 37. Re4 Rh1+ 38. Kg3 Qc3+ 39. Re3 Rd4 40. Rxc3 Rhd1 0-1
Rirr2020,"['Event ""TORNEO BLITZ TERANCHESS""', 'Site ""https://lichess.org/7ILt7u0O""', 'Date ""2020.11.22""', 'White ""Rirr2020""', 'Black ""Carrerojilmer""', 'Result ""0-1""', 'UTCDate ""2020.11.22""', 'UTCTime ""20:43:42""', 'WhiteElo ""1729""', 'BlackElo ""894""', 'Variant ""Standard""', 'TimeControl ""300+0""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Time forfeit""']",0-1
Rirr2020,"['Event ""TORNEO BLITZ TERANCHESS""', 'Site ""https://lichess.org/htSxsP2S""', 'Date ""2020.11.22""', 'White ""Vickaar""', 'Black ""Rirr2020""', 'Result ""1-0""', 'UTCDate ""2020.11.22""', 'UTCTime ""20:32:39""', 'WhiteElo ""1195""', 'BlackElo ""1729""', 'Variant ""Standard""', 'TimeControl ""300+0""', 'ECO ""B00""', 'Opening ""King\'s Pawn""', 'Termination ""Time forfeit""']",1. e4 1-0
Rirr2020,"['Event ""TORNEO BLITZ TERANCHESS""', 'Site ""https://lichess.org/HZCAkd4S""', 'Date ""2020.11.22""', 'White ""Rirr2020""', 'Black ""carlos908""', 'Result ""0-1""', 'UTCDate ""2020.11.22""', 'UTCTime ""20:20:34""', 'WhiteElo ""1740""', 'BlackElo ""1728""', 'WhiteRatingDiff ""-11""', 'BlackRatingDiff ""+7""', 'Variant ""Standard""', 'TimeControl ""300+0""', 'ECO ""B32""', 'Opening ""Sicilian Defense: Open""', 'Termination ""Time forfeit""']",1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nxd4 5. Qxd4 e6 6. Nc3 b6 7. Bb5 Nf6 8. Bg5 Bc5 9. Qd3 O-O 10. O-O-O h6 11. Bh4 Be7 12. Bxf6 Bxf6 13. f4 Bb7 14. e5 Be7 15. Ne4 Bxe4 16. Qxe4 Qc7 17. Rxd7 Qc5 18. Bd3 g6 19. g4 Rad8 20. Rxd8 Rxd8 21. f5 exf5 22. gxf5 Bg5+ 23. Kb1 Rd4 24. Qa8+ Rd8 25. Qxa7 Qxe5 26. fxg6 fxg6 27. Bxg6 Qe7 28. Qxe7 Bxe7 29. Rg1 Bc5 30. Rf1 Kg7 31. Bd3 Re8 32. a3 Rb8 33. b4 Bd4 34. Ka2 Rc8 35. Kb3 Rc3+ 36. Ka4 Bf6 37. Rg1+ Kf7 38. Rf1 Rc8 39. c4 Ra8+ 40. Kb3 Rd8 41. Rd1 Ke6 42. c5 bxc5 43. Bc4+ Ke5 44. Rd2 Rxd2 45. bxc5 Rxh2 46. Kb4 Kd4 47. Bb5 Rc2 48. c6 Be7+ 49. Ka4 Kd5 50. Ka5 Rc5 51. a4 h5 52. Kb6 h4 53. c7 Bd6 54. Bc6+ Rxc6+ 55. Kb7 Rxc7+ 0-1
Rirr2020,"['Event ""TORNEO BLITZ TERANCHESS""', 'Site ""https://lichess.org/nHSiBK6y""', 'Date ""2020.11.22""', 'White ""sergiogelati""', 'Black ""Rirr2020""', 'Result ""1-0""', 'UTCDate ""2020.11.22""', 'UTCTime ""20:10:24""', 'WhiteElo ""1251""', 'BlackElo ""1761""', 'WhiteRatingDiff ""+11""', 'BlackRatingDiff ""-21""', 'Variant ""Standard""', 'TimeControl ""300+0""', 'ECO ""A10""', 'Opening ""English Opening""', 'Termination ""Normal""']",1. c4 b6 2. Nc3 Bb7 3. Nf3 Nf6 4. g3 d6 5. Bg2 e5 6. d3 Be7 7. Qa4+ Nbd7 8. O-O O-O 9. b4 h6 10. Bb2 Rc8 11. c5 dxc5 12. bxc5 Bxc5 13. Qxa7 Ba8 14. Qa4 Ng4 15. h3 Ngf6 16. Qc2 Nb8 17. Na4 Bd6 18. e4 Nc6 19. Nc3 Nb4 20. Qd2 c5 21. Nb5 Bb8 22. Nxe5 Bxe5 23. Bxe5 Nxd3 24. Bxf6 Qxf6 25. Qxd3 c4 26. Qe3 c3 27. Nd4 Rfd8 28. Rfd1 c2 29. Nxc2 Rxc2 30. e5 Rxd1+ 31. Rxd1 Bxg2 32. exf6 Bxh3 33. Qe4 Rxa2 34. Rd8# 1-0
Rirr2020,"['Event ""TORNEO BLITZ TERANCHESS""', 'Site ""https://lichess.org/Qgogx9V8""', 'Date ""2020.11.22""', 'White ""Rirr2020""', 'Black ""strok10""', 'Result ""1-0""', 'UTCDate ""2020.11.22""', 'UTCTime ""20:00:03""', 'WhiteElo ""1761""', 'BlackElo ""1292""', 'Variant ""Standard""', 'TimeControl ""300+0""', 'ECO ""B00""', 'Opening ""King\'s Pawn""', 'Termination ""Time forfeit""']",1. e4 1-0
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/loh1iTih""', 'Date ""2020.11.21""', 'White ""Rirr2020""', 'Black ""Diegoexequiel87""', 'Result ""1-0""', 'UTCDate ""2020.11.21""', 'UTCTime ""20:51:42""', 'WhiteElo ""1526""', 'BlackElo ""1284""', 'WhiteRatingDiff ""+51""', 'BlackRatingDiff ""-47""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""C20""', 'Opening ""King\'s Pawn Game: Napoleon Attack""', 'Termination ""Normal""']",1. e4 e5 2. Qf3 c6 3. Bc4 Qb6 4. Qxf7+ Kd8 5. Qxf8+ Kc7 6. Qxg7 Kd6 7. Qxh8 Qd8 8. d4 Qf6 9. Qxh7 Ne7 10. Qh5 exd4 11. g3 b5 12. Bf4+ Qe5 13. Qxe5# 1-0
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/XiDJzkUy""', 'Date ""2020.11.21""', 'White ""Rirr2020""', 'Black ""kamikase47""', 'Result ""0-1""', 'UTCDate ""2020.11.21""', 'UTCTime ""20:30:16""', 'WhiteElo ""1786""', 'BlackElo ""1378""', 'WhiteRatingDiff ""-260""', 'BlackRatingDiff ""+8""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""B01""', 'Opening ""Scandinavian Defense""', 'Termination ""Time forfeit""']",1. e4 d5 2. Qh5 Be6 3. Bc4 dxc4 4. Qb5+ c6 5. Qxb7 Nd7 6. Qxc6 a5 7. Nc3 a4 8. Nxa4 Rc8 9. Qb5 Nf6 10. e5 Nd5 11. d4 cxd3 12. cxd3 g6 13. Nf3 Bg7 14. O-O O-O 15. Ng5 Bxe5 16. Re1 Bf4 17. Bxf4 Nxf4 18. Rad1 Bf5 19. d4 h6 20. Nf3 Nf6 21. g3 Bg4 22. Ne5 Bxd1 23. Rxd1 Ne2+ 24. Kh1 Nxd4 25. Qd3 Qd5+ 26. f3 Qxf3+ 27. Qxf3 Nxf3 28. Nxf3 e6 29. Nb6 Rb8 30. Nc4 Ng4 31. h4 Nf2+ 32. Kg1 Nxd1 33. Nfe5 Nxb2 34. Nd6 Rfd8 35. Ndxf7 Rd1+ 36. Kf2 Ra1 37. Nxh6+ Kg7 38. Nhg4 Rxa2 39. Kg2 Nd3+ 40. Kh3 Nxe5 41. Nxe5 Kf6 0-1
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/0FiKgvRH""', 'Date ""2020.11.21""', 'White ""Sari_Valle""', 'Black ""Rirr2020""', 'Result ""0-1""', 'UTCDate ""2020.11.21""', 'UTCTime ""20:10:27""', 'WhiteElo ""1286""', 'BlackElo ""1754""', 'WhiteRatingDiff ""-37""', 'BlackRatingDiff ""+32""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""A01""', 'Opening ""Nimzo-Larsen Attack""', 'Termination ""Normal""']",1. b3 c6 2. Nc3 Nf6 3. b4 e5 4. d3 Bxb4 5. d4 Bxc3+ 6. Qd2 Bxd2+ 7. Bxd2 exd4 8. c3 Qb6 9. c4 O-O 10. e3 Re8 11. Kd1 d5 12. exd4 Qxd4 13. f3 Qxa1+ 14. Kc2 Bf5+ 15. Kb3 Qb1+ 16. Ka4 Bc2+ 17. Ka3 a5 18. f4 b5 19. cxb5 cxb5 20. Bxa5 Rxa5# 0-1
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/VsVyjy5B""', 'Date ""2020.11.21""', 'White ""Rirr2020""', 'Black ""Toto_barca""', 'Result ""0-1""', 'UTCDate ""2020.11.21""', 'UTCTime ""19:49:37""', 'WhiteElo ""1984""', 'BlackElo ""1441""', 'WhiteRatingDiff ""-230""', 'BlackRatingDiff ""+402""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""C44""', 'Opening ""Scotch Game""', 'Termination ""Time forfeit""']",1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. Bb5 Bd7 5. Nc3 Nf6 6. Bg5 h6 7. Bh4 g5 8. Bg3 Bg7 9. dxe5 dxe5 10. Qe2 Nd4 11. Nxd4 exd4 12. Nd5 O-O 13. Bxc7 Qe8 14. Bd3 Rc8 15. Bd6 Bg4 16. f3 Bd7 17. Bxf8 Qxf8 18. O-O Nh5 19. Rac1 Nf4 20. Nxf4 gxf4 21. Qd2 Be5 22. Qa5 Qg7 23. Qxa7 Kh7 24. Qxb7 Rg8 25. Rf2 Be6 26. b3 h5 27. a4 Rb8 28. Qe7 h4 29. Bc4 Bf6 30. Qc7 Bxc4 31. Qxb8 Ba6 32. Qxf4 d3 33. cxd3 Bxd3 34. Rd2 Be5 35. Qf5+ Qg6 36. Qxe5 Qh6 37. Rxd3 Qxc1+ 38. Kf2 Qc2+ 39. Ke3 Qxg2 40. Qh5+ Kg7 41. Rd5 Qg1+ 0-1
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/0pldZSjT""', 'Date ""2020.11.21""', 'White ""marcossud185""', 'Black ""Rirr2020""', 'Result ""0-1""', 'UTCDate ""2020.11.21""', 'UTCTime ""19:30:29""', 'WhiteElo ""1524""', 'BlackElo ""1941""', 'WhiteRatingDiff ""-23""', 'BlackRatingDiff ""+43""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""B00""', 'Opening ""Nimzowitsch Defense""', 'Termination ""Normal""']",1. e4 Nc6 2. Nc3 d6 3. Nf3 Bg4 4. Be2 Nf6 5. d4 e6 6. Bg5 Be7 7. Bxf6 Bxf6 8. e5 Be7 9. h3 Bh5 10. g4 Bg6 11. Qd2 dxe5 12. dxe5 Qxd2+ 13. Nxd2 Bxc2 14. Nf3 O-O-O 15. O-O Nd4 16. Nxd4 Rxd4 17. Rac1 Rd2 18. Rfd1 Bxd1 19. Rxd1 Rxd1+ 20. Bxd1 Rd8 21. Bc2 Rd2 22. Bxh7 g6 23. Bg8 Bh4 24. Ne4 Rd7 25. Nc5 Re7 26. f4 b6 27. Ne4 Kd8 28. g5 Rd7 29. Nf6 Rd1+ 30. Kg2 Rd2+ 31. Kf3 Rxb2 32. Bxf7 Rxa2 33. Bxe6 Ra3+ 34. Ke4 a5 35. Kd5 Bg3 36. Ke4 Ra4+ 37. Kf3 Bxf4 38. Bb3 Rb4 39. Nd5 Rxb3+ 40. Kxf4 Rxh3 41. Kg4 Rd3 42. Nf6 a4 43. e6 a3 44. Kf4 a2 45. Ke4 Rd1 46. Nd5 Rxd5 47. Kxd5 a1=Q 48. Kc6 Qa4+ 49. Kd5 Ke7 50. Ke5 b5 51. Kd5 b4 52. Ke5 b3 53. Kd5 b2 54. Ke5 b1=Q 55. Kd5 Qbb5# 0-1
Rirr2020,"['Event ""Copa Estaca Congreso""', 'Site ""https://lichess.org/7P4HCeDc""', 'Date ""2020.11.21""', 'White ""TomiRod""', 'Black ""Rirr2020""', 'Result ""1-0""', 'UTCDate ""2020.11.21""', 'UTCTime ""19:10:00""', 'WhiteElo ""1500""', 'BlackElo ""1941""', 'Variant ""Standard""', 'TimeControl ""600+0""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Normal""']",1-0
