Ciudades,Codigo
Alafaya,689
Allandale,386
Alturas,863
Anastasia Is,904
Anthony,352
Aripeka,727
Astatula,352
Atlantis,561
Auburndale,863
Aventura,786
Azalea Park,689
Babson Park,863
Bagdad,850
Baldwin,904
Barefoot Bay,772
Barrineau Park,850
Bartow,863
Bayard,904
Bayonet Point,727
Bean City,561
Bell,352
Belle Glade,561
Belle Isle,689
Bellview,850
Bithlo,689
Bostwick,386
Boynton Beach,561
Brewster,863
Briny Breezes,561
Bronson,352
Brooksville,352
Bryant,561
Bryceville,904
Canal Point,561
Canaveral Air Station,321
Cape Canaveral,321
Cassadaga,386
Cecil Field,904
Cedar Creek,352
Century,850
Cherry Lake,850
Chiefland,352
Christmas,689
Chuluota,689
Chumuckla,850
Citrus Park,813
Citrus Springs,352
Clermont,352
Cloud Lake,561
Cocoa Beach,321
Coconut Creek,954
Coleman,352
Corry Field,850
Cross Creek,352
Crystal Lake,954
Cutler Bay,786
Cutler Ridge,786
Cypress Gardens,863
Day,386
Daytona Beach,386
Daytona Beach Shores,386
Debary,386
Deer Island,352
Delray Beach,561
Delray Dunes,561
Deltona,386
Deltona Lakes,386
Dinsmore,904
Doctors Inlet,904
Drifton,850
Duette,941
Dunnellon,352
Eagle Lake,863
Earleton,352
East Orange,689
East Palatka,386
Eau Gallie,321
Edgar,352
Edgewood,689
Ellenton,941
Eloise,863
Enterprise,386
Eustis,352
Eva,863
Fanning Springs,352
Fellsmere,772
Fleming Island,904
Florence Villa,863
Forest,352
Fort George,904
Fort Mccoy,352
Frostproof,863
Fruit Cove,904
Fruitland Park,352
Fruitville,941
Gainesville,352
Geneva,689
Georgetown,386
Glen Ridge,561
Golden Beach,786
Golden Oak,689
Golf,561
Golfview,561
Gotha,689
Grand Island,352
Grant,321
Grant Valkaria,321
Green Acres City,561
Grove Park,352
Groveland,352
Gulf Breeze,850
Gulf Hammock,352
Gulf Stream,561
Haines Creek,352
Half Moon,352
Hanson,850
Harmony,689
Haverhill,561
Hawthorne,352
Heathrow,689
Hernando Beach,352
Hiawassee,689
High Point,561
High Springs,386
Highland Beach,561
Highland City,863
Hillsboro Beach,954
Hobe Sound,772
Holder,352
Hollister,386
Holly Hill,386
Holopaw,689
Homeland,863
Howey In The Hills,352
Hudson,727
Hutchinson Island,772
Hypoluxo,561
Indialantic,321
Indian Harbor Beach,321
Inglis,352
Island Grove,352
Jacksonville,904
Jay,850
Jensen Beach,772
Johnson,352
Jonesville,352
Julington Creek,904
Juno Beach,561
Jupiter,561
Jupiter Inlet,561
Jupiter Inlet Colony,561
Kathleen,863
Kenansville,689
Kendrick,352
Keystone Heights,352
Lady Lake,352
Lake Alfred,863
Lake Bryant,352
Lake City,386
Lake Clarke,561
Lake Clarke Shores,561
Lake Como,386
Lake Garfield,863
Lake Harbor,561
Lake Helen,386
Lake Jem,352
Lake Joe,352
Lake Mary,689
Lake Monroe,689
Lake Park,561
Lake Wales,863
Lake Weir,352
Lake Worth,561
Lakeland,863
Lakewood Park,561
Lamont,850
Lantana,561
Laurel,941
Lee,850
Leesburg,352
Lighthouse Point,954
Lloyd,850
Lochloosa,352
Lockhart,689
Long Beach,941
Longboat Key,941
Loretto,904
Loxahatchee,561
Loxahatchee Farm,561
Loxahatchee Groves,561
Lulu,386
Madison,850
Magnolia Square,689
Malabar,321
Manalapan,561
Mandarin,904
Mangonia Park,561
Margate,954
Marietta,904
Marineland,904
Masaryktown,352
Mascotte,352
Mayo,386
Mcmeekin,352
Melbourne,321
Melbourne Beach,321
Melbourne Village,321
Miami Gardens,786
Micanopy,352
Micco,772
Miccosukee,850
Middleburg,904
Midway,850
Milton,850
Mims,321
Minneola,352
Molino,850
Monticello,850
Morriston,352
Moultrie,904
Mount Dora,352
Mount Plymouth,352
Mountain Lake,863
Mulberry,863
Munson,850
Myakka,941
Myakka City,941
Myrtle Grove,850
Newberry,352
Newtown,941
Nichols,863
Nobleton,352
Nokomis,941
North Dade,786
North Lakeland,863
North Lauderdale,954
North Miami,786
North Miami Beach,786
North Palm Beach,561
North Venice,941
Oak,352
Ocala,352
Ocala National Forest,352
Ocean Ridge,561
Oceanway,904
Odessa,813
Ojus,786
Okahumpka,352
Old Town,352
Oldsmar,813
Olustee,386
Orange City,386
Orange Park,904
Orlando,689
Orlo Vista,689
Ormond Beach,386
Osprey,941
Osteen,689
Otter Creek,352
Oviedo,689
Oxford,352
Pace,850
Pahokee,561
Palatka,386
Palm Bay,321
Palm Beach,561
Palm Beach Gardens,561
Palm Beach Shores,561
Palm City,772
Palm Shores,321
Palm Springs,561
Palm Valley,904
Palmetto,941
Paola,689
Parkland,954
Parrish,941
Patrick Air Force Base,321
Pensacola,850
Pensacola Beach,850
Perdido,850
Perrine,786
Pierce,863
Pine Castle,689
Pine Hills,689
Pinetta,850
Poinciana,863
Polk City,863
Pomona Park,386
Pompano Beach,954
Ponce Inlet,386
Ponte Vedra,904
Ponte Vedra Beach,904
Port Canaveral,321
Port Mayaca,561
Port Orange,386
Port Salerno,772
Port Sewall,772
Putnam Hall,352
Quintette,850
Riviera Beach,561
Romeo,352
Roseland,772
Royal Palm Beach,561
Rubonia,941
Saint Augustine,904
Saint Augustine Beach,904
Saint Cloud,689
Saint Johns,904
San Mateo,386
Sand Lake,689
Sanford,689
Sarasota,941
Satellite Beach,321
Satsuma,386
Scottsmoor,321
Sea Ranch Lakes,954
Sebastian,772
Sewalls Point,772
Shady Hills,352
Siesta Key,941
Silver Springs,352
Silver Springs Shores,352
Singer Island,561
Sorrento,352
South Bay,561
South Daytona,386
South Palm Beach,561
Sparr,352
Spring Hill,352
Spruce Creek,386
Starke,904
Stuart,772
Summer Haven,904
Sunny Isles,786
Sunny Isles Beach,786
Suwannee,352
Switzerland,904
Taft,689
Tallahassee,850
Tamarac,954
Tampa West,813
Tangerine,352
Tavares,352
Tequesta,561
The Villages,352
Tioga,352
Titusville,321
Town Of Nocatee,904
Trenton,352
Trillacoochee,352
Union Park,689
Valkaria,321
Venetian Isles,954
Venice,941
Village Of Golf,561
Village Of Palmetto Bay,786
Village Of Wellington,561
Wabasso,772
Wacissa,850
Wahneta,863
Wakulla,850
Wakulla Springs,850
Waldena Lake,352
Warrington,850
Waverly,863
Weekiwachee Springs,352
Welaka,386
Wellington,561
West Delray Beach,561
West Melbourne,321
West Palm Beach,561
Whitney,352
Wilbur By The Sea,386
Wildwood,352
Winter Haven,863
Winter Springs,689
Woodville,850
Yalaha,352
Yankeetown,352
Yeehaw Junction,689
Yelvington,386
